0	0.471
20	0.5085
40	0.542
60	0.5425
80	0.5515
100	0.548
120	0.5365
140	0.549
160	0.542
180	0.5545
200	0.5435
220	0.5445
240	0.5505
260	0.5515
280	0.567
300	0.5395
320	0.557
340	0.564
360	0.5745
380	0.5765
400	0.578
420	0.574
440	0.5835
460	0.5925
480	0.5645
500	0.564
520	0.5855
540	0.585
560	0.5745
580	0.572
600	0.5785
620	0.568
640	0.579
660	0.5855
680	0.5825
700	0.582
720	0.585
740	0.58
760	0.59
780	0.588
800	0.5805
820	0.587
840	0.584
860	0.587
880	0.5855
900	0.587
920	0.589
940	0.585
960	0.59
980	0.591
1000	0.57
