0	0.57
10	0.609
20	0.6255
30	0.6405
40	0.645
50	0.645
60	0.642
70	0.655
80	0.6685
90	0.653
100	0.6485
110	0.6575
120	0.6555
130	0.6535
140	0.66
150	0.6515
160	0.6545
170	0.668
180	0.6525
190	0.655
200	0.652
210	0.6535
220	0.66
230	0.643
240	0.618
250	0.653
260	0.6515
270	0.6555
280	0.659
290	0.646
300	0.647
310	0.655
320	0.652
330	0.642
340	0.6385
350	0.641
360	0.653
370	0.6445
380	0.648
390	0.6505
400	0.6495
410	0.654
420	0.655
430	0.656
440	0.6565
450	0.639
460	0.65
470	0.6575
480	0.6565
490	0.6585
500	0.635
510	0.6355
520	0.6425
530	0.6315
540	0.616
550	0.6425
560	0.661
570	0.6725
580	0.6785
590	0.656
600	0.6605
610	0.6605
620	0.668
630	0.6665
640	0.656
650	0.658
660	0.657
670	0.6455
680	0.651
690	0.654
700	0.657
710	0.6615
720	0.646
730	0.6595
740	0.658
750	0.6615
760	0.6555
770	0.6715
780	0.6765
790	0.6795
800	0.661
810	0.669
820	0.661
830	0.6635
840	0.6665
850	0.664
860	0.6595
870	0.6485
880	0.6455
890	0.649
900	0.6535
910	0.6615
920	0.6465
930	0.6655
940	0.6665
950	0.671
960	0.6545
970	0.6615
980	0.669
990	0.671
1000	0.655
