0	0.4765	
10	0.716	
20	0.662	
30	0.8355	
40	0.6135	
50	0.862	
60	0.84	
70	0.637	
80	0.868	
90	0.581	
100	0.7945	
110	0.721	
120	0.8255	
130	0.845	
140	0.5345	
150	0.733	
160	0.9195	
170	0.925	
180	0.928	
190	0.9395	
200	0.9395	
210	0.8725	
220	0.943	
230	0.9195	
240	0.936	
250	0.935	
260	0.9365	
270	0.9085	
280	0.8855	
290	0.8775	
300	0.942	
310	0.9425	
320	0.9295	
330	0.9375	
340	0.8775	
350	0.898	
360	0.931	
370	0.9415	
380	0.8895	
390	0.9445	
400	0.947	
410	0.9485	
420	0.935	
430	0.9325	
440	0.9385	
450	0.941	
460	0.944	
470	0.94	
480	0.941	
490	0.9395	
500	0.9385	
510	0.938	
520	0.934	
530	0.8795	
540	0.9325	
550	0.8785	
560	0.869	
570	0.9105	
580	0.9255	
590	0.918	
600	0.8405	
610	0.917	
620	0.8205	
630	0.898	
640	0.899	
650	0.9215	
660	0.8965	
670	0.8995	
680	0.9175	
690	0.882	
700	0.9125	
710	0.905	
720	0.911	
730	0.913	
740	0.904	
750	0.904	
760	0.903	
770	0.8985	
780	0.914	
790	0.9125	
800	0.9185	
810	0.9135	
820	0.911	
830	0.9115	
840	0.916	
850	0.909	
860	0.8985	
870	0.894	
880	0.912	
890	0.9155	
900	0.916	
910	0.916	
920	0.9055	
930	0.9115	
940	0.901	
950	0.9015	
960	0.909	
970	0.918	
980	0.9115	
990	0.9135	
1000	0.9085	
