0	0.5
10	0.5
20	0.5915
30	0.5675
40	0.6365
50	0.599
60	0.516
70	0.5935
80	0.617
90	0.5915
100	0.584
110	0.5985
120	0.572
130	0.5795
140	0.6095
150	0.661
160	0.5455
170	0.5055
180	0.6655
190	0.656
200	0.5875
210	0.6205
220	0.669
230	0.615
240	0.6395
250	0.636
260	0.618
270	0.612
280	0.609
290	0.6425
300	0.625
310	0.623
320	0.608
330	0.578
340	0.567
350	0.657
360	0.6345
370	0.646
380	0.5925
390	0.6335
400	0.584
410	0.647
420	0.6395
430	0.658
440	0.6445
450	0.573
460	0.6635
470	0.6465
480	0.564
490	0.5405
500	0.5595
510	0.641
520	0.6715
530	0.664
540	0.593
550	0.6385
560	0.582
570	0.6635
580	0.5685
590	0.6465
600	0.6635
610	0.639
620	0.662
630	0.5515
640	0.6145
650	0.665
660	0.594
670	0.6165
680	0.645
690	0.6445
700	0.657
710	0.6655
720	0.6575
730	0.6875
740	0.632
750	0.6465
760	0.6185
770	0.689
780	0.636
790	0.6025
800	0.678
810	0.624
820	0.614
830	0.6365
840	0.639
850	0.6805
860	0.658
870	0.6405
880	0.66
890	0.641
900	0.674
910	0.6345
920	0.637
930	0.6025
940	0.6735
950	0.6045
960	0.555
970	0.644
980	0.6115
990	0.6465
1000	0.629
