0	0.56
10	0.552
20	0.546
30	0.57
40	0.5475
50	0.6035
60	0.6205
70	0.645
80	0.6505
90	0.6535
100	0.5865
110	0.6085
120	0.6265
130	0.6335
140	0.633
150	0.6105
160	0.6215
170	0.628
180	0.6555
190	0.6355
200	0.5315
210	0.5265
220	0.662
230	0.6365
240	0.665
250	0.659
260	0.6535
270	0.614
280	0.561
290	0.6385
300	0.6305
310	0.5945
320	0.5995
330	0.641
340	0.594
350	0.667
360	0.639
370	0.5795
380	0.6095
390	0.594
400	0.633
410	0.527
420	0.6695
430	0.6155
440	0.6415
450	0.6635
460	0.641
470	0.654
480	0.605
490	0.6655
500	0.6545
510	0.627
520	0.6565
530	0.644
540	0.6505
550	0.6315
560	0.659
570	0.6275
580	0.6415
590	0.661
600	0.661
610	0.6755
620	0.6225
630	0.6115
640	0.662
650	0.553
660	0.603
670	0.6335
680	0.659
690	0.6325
700	0.665
710	0.678
720	0.5935
730	0.604
740	0.6465
750	0.6605
760	0.664
770	0.608
780	0.656
790	0.614
800	0.66
810	0.652
820	0.666
830	0.6495
840	0.662
850	0.5905
860	0.6855
870	0.591
880	0.5845
890	0.6685
900	0.62
910	0.5435
920	0.6365
930	0.6615
940	0.664
950	0.667
960	0.6705
970	0.6625
980	0.6645
990	0.65
1000	0.6525
